s0_level,index,value,degree,minimal_polynomial
4,224,2.72229,8,1-3 t+2 t^2-4 t^3+3 t^4-4 t^5+2 t^6-3 t^7+t^8
3,225,2.72497,8,1-2 t-3 t^2+t^3+5 t^4+t^5-3 t^6-2 t^7+t^8
4,226,2.72638,10,1-2 t-2 t^2-t^3+t^4+5 t^5+t^6-t^7-2 t^8-2 t^9+t^10
3,227,2.72707,6,1-2 t-2 t^2+t^3-2 t^4-2 t^5+t^6
3,228,2.72884,8,1-5 t+10 t^2-15 t^3+17 t^4-15 t^5+10 t^6-5 t^7+t^8
4,229,2.73024,8,1-2 t-t^2-2 t^3-t^4-2 t^5-t^6-2 t^7+t^8
4,230,2.73181,8,1-3 t+t^2-2 t^4+t^6-3 t^7+t^8
4,231,2.73493,10,1-2 t-3 t^2+2 t^3+2 t^4-t^5+2 t^6+2 t^7-3 t^8-2 t^9+t^10
4,232,2.73693,8,1-3 t+t^2-t^3+t^4-t^5+t^6-3 t^7+t^8
4,233,2.73888,10,1-3 t+t^2-2 t^3+4 t^4-3 t^5+4 t^6-2 t^7+t^8-3 t^9+t^10
3,234,2.74029,8,1-t-4 t^2-2 t^3+t^4-2 t^5-4 t^6-t^7+t^8
4,235,2.74098,8,1-t-2 t^2-5 t^3-5 t^4-5 t^5-2 t^6-t^7+t^8
4,236,2.74246,8,1-3 t+t^2-2 t^3+4 t^4-2 t^5+t^6-3 t^7+t^8
4,237,2.7452,8,1-2 t-2 t^2-2 t^6-2 t^7+t^8
3,238,2.74524,10,1-4 t+5 t^2-6 t^3+6 t^4-5 t^5+6 t^6-6 t^7+5 t^8-4 t^9+t^10
3,239,2.74939,8,1-2 t-2 t^2-t^3+3 t^4-t^5-2 t^6-2 t^7+t^8
4,240,2.75284,10,1-t-4 t^2-3 t^3+t^4+3 t^5+t^6-3 t^7-4 t^8-t^9+t^10
3,241,2.75577,8,1-3 t+2 t^3-t^4+2 t^5-3 t^7+t^8
4,242,2.75724,10,1-3 t^2-7 t^3-10 t^4-11 t^5-10 t^6-7 t^7-3 t^8+t^10
4,243,2.76295,6,1-t-3 t^2-4 t^3-3 t^4-t^5+t^6
3,244,2.76702,6,1-3 t+t^2-t^3+t^4-3 t^5+t^6
